freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,6,6,48,0,,,,140.2272333999863,141.22622230996495,141.22568159998627,141.24231649999274,141.90693419997115,200,up,1,1.4661068000132218,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,7,0,49,3,,,,142.70821069995873,143.7071566099592,143.70738939999137,143.7241410999559,144.38803939998616,200,up,1,1.1326165000209585,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,7,1,50,5,,,,144.9053837999818,145.8880868099921,145.88822059996892,145.90514849999454,146.56879290001234,500,down,1,0.891005200042855,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,7,2,51,1,,,,146.80376689997502,147.80311990999036,147.80289369996171,147.80289369996171,148.50095580000198,200,down,1,0.9187909999745898,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,7,3,52,4,,,,148.75232039997354,149.75118550999906,149.75127830001293,149.76731339999242,150.4486176999635,500,up,1,1.2078884999500588,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,7,4,53,6,,,,150.9830146000022,151.98251841000166,151.98259809997398,151.98259809997398,152.67928099998971,500,down,1,1.148482899996452,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,7,5,54,2,,,,153.14733289997093,154.14708340998624,154.1467335000052,154.1467335000052,154.84381479996955,200,down,1,1.0396559000364505,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,7,6,55,0,,,,155.2119881999679,156.21240010995535,156.21184229996288,156.21184229996288,,200,up,1,1.012196799973026,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,8,0,56,2,,,,157.2577278999961,158.24371690999834,158.24342849996174,158.26006199995754,,200,up,1,0.8745876000029966,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,8,1,57,4,,,,159.1415612999699,160.14053190998385,160.1405248999945,160.15735469997162,160.8213614000124,500,down,1,0.9547719999682158,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,8,2,58,1,,,,161.12315419997321,162.12258691001335,162.12358929996844,162.12358929996844,162.81987519998802,200,up,1,0.9629061000305228,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,8,3,59,5,,,,163.1046011999715,164.10399020996994,164.10395709995646,164.10395709995646,164.80110779998358,500,up,1,0.9704530999879353,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
